City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,El Limon,VE,80.82,clear sky,10.3059,-67.6321,Campamento Valle Beraca
14,Ongandjera,,82.67,overcast clouds,-17.8833,15.0667,Abner Nekongo residential
15,Rikitea,PF,78.37,few clouds,-23.1203,-134.9692,People ThankYou
17,Fare,PF,80.62,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
18,Chokwe,MZ,83.84,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
30,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
31,Atuona,PF,78.22,clear sky,-9.8,-139.0333,Villa Enata
35,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
40,Arraial Do Cabo,BR,87.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
43,Kismayo,SO,79.68,overcast clouds,-0.3582,42.5454,Agan-Hotel
45,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
48,Kloulklubed,PW,81.1,few clouds,7.0419,134.2556,Storyboard Beach Resort
51,Butaritari,KI,82.51,few clouds,3.0707,172.7902,Isles Sunset Lodge
53,Kudahuvadhoo,MV,82.08,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
56,Cidreira,BR,83.91,overcast clouds,-30.1811,-50.2056,Hotel Castelo
57,Tamandare,BR,85.17,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
67,Alenquer,BR,82.74,overcast clouds,-1.9417,-54.7383,Detinha Hotel
68,Tanout,NE,78.17,clear sky,14.9709,8.8879,
69,Kasangulu,CD,83.46,light rain,-4.5911,15.1708,Hôtel le Relais
73,Conde,BR,85.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
79,Quatre Cocos,MU,80.1,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
95,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Sibolga,ID,75.58,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
99,Bredasdorp,ZA,79.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
103,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
113,Caravelas,BR,85.41,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
115,Bandarbeyla,SO,76.59,clear sky,9.4942,50.8122,JABIR HOTEL
116,Santa Cruz Del Norte,CU,77.74,scattered clouds,23.1539,-81.9236,Rioger Art
118,Boyolangu,ID,76.68,overcast clouds,-8.1181,111.8935,Yos ega cv
119,Kalmunai,LK,76.51,clear sky,7.4167,81.8167,VS Villa
123,Farafangana,MG,76.96,heavy intensity rain,-22.8167,47.8333,Miarina
127,Bang Len,TH,87.98,overcast clouds,14.0219,100.1718,สบายฟ้าอพาร์ทเม้นท์
128,Gogrial,SS,88.14,overcast clouds,8.5332,28.1004,
129,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
131,Ranong,TH,76.57,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
135,Hithadhoo,MV,82.62,overcast clouds,-0.6,73.0833,Scoop Guest House
142,Bosaso,SO,76.98,overcast clouds,11.2842,49.1816,Red Sea Hotel
143,Isangel,VU,79.54,moderate rain,-19.55,169.2667,Tanna Lodge
