City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Verkhniye Tatyshly,56.2912,55.8575,22.78,95,100,3.62,RU,2/5/2022 15:10,overcast clouds
1,Tezu,27.9167,96.1667,55.42,96,100,0.89,IN,2/5/2022 15:10,light rain
2,Albany,42.6001,-73.9662,17.31,75,18,1.99,US,2/5/2022 15:07,few clouds
3,El Limon,10.3059,-67.6321,80.82,50,1,1.99,VE,2/5/2022 15:10,clear sky
4,Hobart,-42.8794,147.3294,60.03,77,100,4.61,AU,2/5/2022 15:09,overcast clouds
5,Petropavlovsk-Kamchatskiy,53.0452,158.6483,18.37,84,100,11.63,RU,2/5/2022 15:07,overcast clouds
6,Leningradskiy,69.3833,178.4167,-21.35,96,8,5.66,RU,2/5/2022 15:05,clear sky
7,Tiksi,71.6872,128.8694,-20.56,98,100,7.38,RU,2/5/2022 15:10,overcast clouds
8,Xudat,41.631,48.681,38.17,72,100,13,AZ,2/5/2022 15:10,overcast clouds
9,Nigde,37.8333,34.75,18.61,91,10,2.19,TR,2/5/2022 15:10,clear sky
10,Kazanka,47.8462,32.8218,30.54,71,100,7.94,UA,2/5/2022 15:10,overcast clouds
11,Hilo,19.7297,-155.09,70.79,92,100,8.05,US,2/5/2022 15:07,light rain
12,Punta Arenas,-53.15,-70.9167,62.71,51,75,21.85,CL,2/5/2022 15:05,broken clouds
13,Qaanaaq,77.484,-69.3632,-1.62,70,81,10.56,GL,2/5/2022 15:01,broken clouds
14,Ongandjera,-17.8833,15.0667,82.67,28,86,12.5,NA,2/5/2022 15:10,overcast clouds
15,Rikitea,-23.1203,-134.9692,78.37,73,22,11.07,PF,2/5/2022 15:10,few clouds
16,Cherskiy,68.75,161.3,-32.84,96,15,1.92,RU,2/5/2022 15:06,few clouds
17,Fare,-16.7,-151.0167,80.62,70,9,15.57,PF,2/5/2022 15:08,clear sky
18,Chokwe,-24.5333,32.9833,83.84,54,90,15.64,MZ,2/5/2022 15:08,overcast clouds
19,Jamestown,42.097,-79.2353,16.3,64,100,5.01,US,2/5/2022 15:09,overcast clouds
20,Vardo,70.3705,31.1107,22.98,80,75,24.16,NO,2/5/2022 15:10,broken clouds
21,Lerwick,60.1545,-1.1494,42.8,72,100,35.72,GB,2/5/2022 15:05,overcast clouds
22,New Norfolk,-42.7826,147.0587,59.67,62,100,1.12,AU,2/5/2022 15:10,overcast clouds
23,Guerrero Negro,27.9769,-114.0611,55.36,43,0,5.23,MX,2/5/2022 15:03,clear sky
24,Dicamay,16.7561,122.0037,67.42,95,48,2.26,PH,2/5/2022 15:10,scattered clouds
